VideoID,Title,Gender,Age group,Percentage
xv9yFkEP6qI,"""All Nighter"" - feat. Kinect & Maya motion capture",FEMALE,13-17,0.430000%
xv9yFkEP6qI,"""All Nighter"" - feat. Kinect & Maya motion capture",FEMALE,55-64,0.540000%
xv9yFkEP6qI,"""All Nighter"" - feat. Kinect & Maya motion capture",FEMALE,65-,0.410000%
xv9yFkEP6qI,"""All Nighter"" - feat. Kinect & Maya motion capture",MALE,25-34,18.360000%
xv9yFkEP6qI,"""All Nighter"" - feat. Kinect & Maya motion capture",FEMALE,25-34,1.250000%
xv9yFkEP6qI,"""All Nighter"" - feat. Kinect & Maya motion capture",MALE,55-64,6.730000%
xv9yFkEP6qI,"""All Nighter"" - feat. Kinect & Maya motion capture",FEMALE,45-54,2.480000%
xv9yFkEP6qI,"""All Nighter"" - feat. Kinect & Maya motion capture",FEMALE,35-44,2.140000%
xv9yFkEP6qI,"""All Nighter"" - feat. Kinect & Maya motion capture",FEMALE,18-24,0.890000%
xv9yFkEP6qI,"""All Nighter"" - feat. Kinect & Maya motion capture",MALE,65-,2.500000%
xv9yFkEP6qI,"""All Nighter"" - feat. Kinect & Maya motion capture",MALE,35-44,28.710000%
xv9yFkEP6qI,"""All Nighter"" - feat. Kinect & Maya motion capture",MALE,45-54,21.810000%
xv9yFkEP6qI,"""All Nighter"" - feat. Kinect & Maya motion capture",MALE,18-24,8.670000%
xv9yFkEP6qI,"""All Nighter"" - feat. Kinect & Maya motion capture",MALE,13-17,5.030000%
